Titulo,Compañia,Experiencia,Salario,Ubicacion,Fecha,Requisitos
"Senior Scientist, Applied Machine Learning",Bristol Myers Squibb Careers,2,Sin informacion,Sevilla,02-01-2023,"['Reports', 'Python', 'R', 'Tensorflow', 'EDGE', 'GIT', 'Docker']"
Growth Director Europe,Selina,9,Sin informacion,Sin informacion,02-01-2023,[]
"Product Manager, Madrid",Thetaray,2,Sin informacion,Madrid,08-12-2022,"['Next', 'Agile', 'Scrum']"
EMEA Data Center Project Manager,Eaton,Sin informacion,Sin informacion,Barcelona,01-01-2023,"['Cycle', 'Core', 'MS Office', 'PMP', 'PM', 'SCADA']"
Data Engineer,Scalapay,3,Sin informacion,Barcelona,08-12-2022,"['Core', 'API', 'Python', 'SQL', 'Access', 'Linux', 'AWS', 'GIT', 'Kubernetes', 'ETL']"
Senior Software Engineer,Clarivate,4,Sin informacion,Barcelona,08-12-2022,"['Cycle', 'API', 'C', 'Java', 'Perl', 'Python', 'REST', 'Scala', 'SQL', 'Elasticsearch', 'Linux', 'AWS', 'Unix', 'Spark', 'Agile']"
Data Scientist - Spanish Speaking,Shift Technology,Sin informacion,Sin informacion,Madrid,23-12-2022,"['C', 'SQL', 'Elasticsearch', 'CVS']"
"Customer Solutions Engineer, gTech Professional Services (Spanish)",Google,Sin informacion,Sin informacion,Madrid,08-12-2022,"['API', 'C', 'CSS', 'HTML', 'Java', 'JavaScript', 'MySQL', 'Python', 'SQL', 'Linux', 'Unix', 'ETL']"
Data Analyst,Socialpoint,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['MEAN', 'Android', 'iOS', 'Next', 'Python', 'R', 'SQL', 'Tableau']"
SEO Specialist (Remote),Planner 5D,1,Sin informacion,Madrid,31-12-2022,"['Android', 'iOS', 'VCS', 'Windows']"
SRE - DevOps,Lang.ai,3,Sin informacion,Madrid,08-12-2022,"['Go', 'Next', 'Python', 'Elasticsearch', 'AWS', 'Docker']"
Senior Event Producer,FeverUp,7,Sin informacion,Madrid,08-12-2022,"['Reports', 'Access', 'EDGE']"
Brand Protection Specialist - Enforcement,Red Points,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['Reports', 'R', 'Access']"
Lead Unity Engineer - Casual Games,Homa,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['Core', 'Go', 'Natural']"
Head of Digital Marketing & CRM,Metyis,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['Core', 'CRM', 'IoT', 'Basis']"
"Senior Director, Product Marketing, Google Ads",Google,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Core', 'Go']"
DEVOPS/SRE/Automation,Talan,0,Sin informacion,Málaga,30-12-2022,"['Next', 'Nodejs', 'Python', 'Ruby', 'AWS', 'GIT', 'Jenkins', 'Blockchain', 'Agile']"
Junior Data Analyst,Opportunity Network,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['Core', 'MySQL', 'Python', 'REST', 'SQL', 'Access', 'Business Intelligence', 'CRM', 'BI', 'Tableau']"
Junior Sales Development Representative (French speaker),Dexma,1,Sin informacion,Sin informacion,29-12-2022,"['Reports', 'Access', 'MS Office', 'CRM']"
Lead - Business Intelligence,Indicia Worldwide,5,Sin informacion,Asturias,08-12-2022,"['SQL', 'AWS', 'Business Intelligence', 'ETL', 'Agile', 'BI', 'Tableau']"
Growth (Mobile App) Director,Mobyfox,Sin informacion,Sin informacion,Barcelona,08-12-2022,[]
Crypto Quantitative Analyst,Token Metrics,Sin informacion,Sin informacion,Barcelona,28-12-2022,['Python']
DevOps/SRE Engineering - Enhancing Digital Experiences,Techruiter,Sin informacion,Sin informacion,Barcelona,28-12-2022,"['Core', 'Go', 'Next', 'Python', 'R', 'Elasticsearch', 'DNS', 'AWS', 'EDGE', 'Kubernetes', 'Hadoop', 'Kafka', 'Spark']"
Content Specialist,Smart Protection,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Core', 'Agile']"
"Partner Enablement Manager, EMEA",Denodo Technologies,0,Sin informacion,Madrid,08-12-2022,"['Less', 'BI']"
Global Head of People,Canonical - Jobs,Sin informacion,Sin informacion,Sin informacion,08-12-2022,"['C', 'Basis']"
Senior Integration Engineer,Conviva,5,Sin informacion,Madrid,08-12-2022,"['C', 'IDE', 'Java', 'JavaScript', 'Objective-C', 'JIRA']"
Principal iOS Software Engineer,EventBrite,0,Sin informacion,Sin informacion,08-12-2022,"['Core', 'API', 'Android', 'iOS', 'Node', 'React', 'Redux', 'Kotlin', 'MySQL', 'Python', 'Django', 'REST', 'Swift', 'AWS']"
Senior Core Developer - BCN (M/F),Madbox,5,Sin informacion,Barcelona,08-12-2022,"['Core', 'C', 'REST', 'EDGE']"
Business Intelligence/Reporting Manager,Indicia Worldwide,5,Sin informacion,Asturias,08-12-2022,"['SQL', 'AWS', 'Business Intelligence', 'ETL', 'BI', 'Tableau']"
"Director, User Experience",Clarivate,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['Core', 'C', 'Next', 'EDGE']"
"Senior People Partner - Work from Anywhere, GMT -5 to GMT +5",Omnipresent,Sin informacion,Sin informacion,Barcelona,24-12-2022,[]
Senior Threat Intelligence Analyst,Randstad Spain,Sin informacion,Sin informacion,Madrid,23-12-2022,"['Reports', 'R']"
Senior Cost Manager - Data Center Construction Projects,Turner & Townsend,7,Sin informacion,Madrid,24-12-2022,"['Cycle', 'Reports', 'CVS']"
Pay and Reward Specialist,Evolution,Sin informacion,Sin informacion,Madrid,24-12-2022,"['Cycle', 'Next', 'MS Office']"
Promotion Manager - Latam Region,Evolution,2,Sin informacion,Madrid,24-12-2022,"['Next', 'CRM']"
Paid Media Manager,IG Group,Sin informacion,Sin informacion,Madrid,23-12-2022,"['Core', 'Access', 'Agile']"
Product Manager,Neuroelectrics,2,Sin informacion,Barcelona,23-12-2022,"['Python', 'REST', 'SQL']"
Software Engineering Manager - Identity Management (Python/Go),Canonical - Jobs,Sin informacion,Sin informacion,Barcelona,23-12-2022,"['C', 'Go', 'Python', 'Access', 'Ubuntu', 'Kubernetes']"
Network Development Analyst,Vueling,5,Sin informacion,Sin informacion,23-12-2022,"['Flight', 'Go', 'Visual Basic', 'SAP', 'BI', 'Tableau']"
BPA - Brand Protection Advisor (2),Smart Protection,3,Sin informacion,Madrid,08-12-2022,"['Core', 'CRM', 'Agile']"
Formal Methods Research Engineer,47 Degrees,Sin informacion,Sin informacion,Sin informacion,23-12-2022,"['Core', 'Kotlin', 'Scala', 'Access', 'EDGE', 'VCS', 'GIT', 'Kafka', 'Agile']"
Sales Development Representative - Europe & New Markets,BDEO,1,Sin informacion,Madrid,22-12-2022,"['Core', 'Go', 'Natural', 'CRM', 'Agile', 'Salesforce', 'Basis', 'PM']"
Cloud SysAdmin,RavenPack,Sin informacion,Sin informacion,Sin informacion,08-12-2022,"['Java', 'React', 'NoSQL', 'Python', 'R', 'SQL', 'Elasticsearch', 'Linux', 'AWS', 'EDGE', 'Docker', 'Bigdata', 'Hadoop', 'Spark', 'Agile', 'Basis']"
Project Manager,Edwards Lifesciences,8,Sin informacion,Madrid,22-12-2022,['MS Office']
"Program Coordinator, Program Operations",IE University,3,Sin informacion,Madrid,21-12-2022,"['Reports', 'Basis']"
Senior Frontend Engineer - Payroll Domain - Madrid (d/f/m),Personio,4,Sin informacion,Madrid,20-12-2022,"['JavaScript', 'React', 'Redux', 'Access', 'Agile']"
Paid Search Specialist,OrbitalAds,2,Sin informacion,Madrid,20-12-2022,['Natural']
Health & Safety Specialist,Evolution,Sin informacion,Sin informacion,Madrid,20-12-2022,[]
Senior Project Management - Change Management,47 Degrees,Sin informacion,Sin informacion,Sin informacion,20-12-2022,"['Kotlin', 'Reports', 'Scala', 'Access', 'EDGE', 'Agile']"
"Senior Scientist, Applied Machine Learning",Bristol Myers Squibb,2,Sin informacion,Sevilla,20-12-2022,"['Reports', 'Python', 'R', 'Tensorflow', 'EDGE', 'GIT', 'Docker']"
Postdoctoral Fellow on Systems Medicine (ref. PD/22/37),IRB Barcelona,Sin informacion,Sin informacion,Barcelona,17-12-2022,"['Core', 'Access', 'EDGE']"
Business Analytics Manager,Verve Group,3,Sin informacion,Madrid,17-12-2022,"['Next', 'Reports', 'SQL', 'Tableau']"
IT Operations Lead,Nexthink,Sin informacion,Sin informacion,Madrid,17-12-2022,"['C', 'Reports', 'MS Office']"
Engineering Operations Lead,Nexthink,Sin informacion,Sin informacion,Madrid,17-12-2022,"['C', 'Reports', 'MS Office']"
Senior FP&A Analyst,FeverUp,5,Sin informacion,Madrid,17-12-2022,"['Access', 'Agile']"
Customer Success Manager- French Speaker,CyberVadis,5,Sin informacion,Barcelona,16-12-2022,"['C', 'MS Office', 'CRM', 'Agile', 'Salesforce']"
"Presales Solution Consultant, Risk Solutions",ServiceNow,5,Sin informacion,Madrid,16-12-2022,"['Cycle', 'R', 'Access']"
Bridges and Structures Senior CAD Technician,AECOM,5,Sin informacion,Madrid,16-12-2022,"['AutoCad', 'Access']"
"SAP iXp Intern - Digital Demand Associate for Belgium based in Barcelona, Spain",SAP,Sin informacion,Sin informacion,Barcelona,16-12-2022,"['ERP', 'SAP']"
Product Manager - Casino Rewards,The Workshop,Sin informacion,Sin informacion,Málaga,15-12-2022,"['Cycle', 'Agile', 'Basis']"
Senior Solutions Analyst/Business Analyst,Clarivate,5,Sin informacion,Barcelona,15-12-2022,"['C', 'Next', 'REST', 'SQL', 'SOAP', 'JIRA', 'Agile', 'Scrum', 'Basis']"
QA,CATORCE,Sin informacion,Sin informacion,Barcelona,14-12-2022,"['Adobe', 'C', 'Air', 'HTML', 'Next', 'CMS', 'JIRA', 'Agile', 'Scrum']"
Intermediate Quality Assurance Engineer,Accedo,3,Sin informacion,Madrid,14-12-2022,"['Cycle', 'In Design', 'API', 'Android', 'Next', 'EDGE', 'Agile', 'Kanban', 'Scrum', 'Basis']"
Risk Decision Scientist - Spain,Scalapay,2,Sin informacion,Barcelona,08-12-2022,"['Go', 'Reports', 'Python', 'REST', 'SQL', 'AWS']"
Legal Officer,Citco,1,Sin informacion,Sin informacion,13-12-2022,"['.NET', 'C']"
Executive Assistant,Red Points,3,Sin informacion,Barcelona,13-12-2022,"['R', 'MS Office', 'Basis']"
ICT Specialist (Application Solutions Engineer) - P3,UNICEF,5,Sin informacion,Valencia,13-12-2022,"['Core', 'Entity Framework', 'Next', 'React', 'TypeScript', 'MS SQL', 'Python', 'SQL', 'Access', 'SharePoint', 'AWS', 'Docker', 'Kubernetes', 'Business Intelligence', 'CRM', 'Agile', 'Salesforce']"
"Associate Director, Center for the Governance of Change (Temporary)",IE University,5,Sin informacion,Madrid,12-12-2022,"['Python', 'Blockchain', 'WordPress', 'Tableau']"
Inside Sales Specialist (f/m/d/x),Drooms,Sin informacion,Sin informacion,Madrid,12-12-2022,['CRM']
Sales Engineer/Solutions Architect - Madrid,Tink,4,Sin informacion,Madrid,10-12-2022,['Go']
Technical Success Manager - EMEA,Netskope,8,Sin informacion,Barcelona,09-12-2022,"['Core', 'C', 'Next', 'VPN']"
International Payroll Specialist M/F,Ekkiden,3,Sin informacion,Madrid,08-12-2022,['C']
Sales Ops Manager M/F,Ekkiden,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Reports', 'CRM']"
QA Engineer,LoopUp,3,Sin informacion,Sin informacion,08-12-2022,"['Jest', 'Vanilla', 'CSS', 'HTML', 'JavaScript', 'Node', 'Python', 'MongoDB', 'Redis', 'Selenium', 'Google Cloud Platform', 'GIT', 'Kubernetes', 'JIRA']"
Principal iOS Software Engineer,EventBrite,0,Sin informacion,Sin informacion,08-12-2022,"['Core', 'API', 'Android', 'iOS', 'Node', 'React', 'Redux', 'Kotlin', 'MySQL', 'Python', 'Django', 'REST', 'Swift', 'AWS']"
Senior QA Engineer,fundcraft Holdco S.ar.l,2,Sin informacion,Gerona,08-12-2022,"['CSS', 'HTML', 'JavaScript', 'ReactJS', 'Redux', 'Reports', 'Python', 'Django', 'MongoDB', 'Redis', 'AWS', 'JIRA', 'Agile']"
"Developer Team Lead (Málaga, Spain)",Wunderdog,Sin informacion,Sin informacion,Sin informacion,08-12-2022,"['Core', 'Go', 'JavaScript', 'React', 'AWS', 'Agile']"
Software Architect,Miratech,3,Sin informacion,Sin informacion,08-12-2022,"['C', 'CSS', 'HTML', 'Java', 'JavaScript', 'EDGE', 'Scrum']"
Senior Software Architect,Nexthink,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Java', 'Next', 'AWS', 'Kubernetes', 'Kafka', 'Agile']"
(Senior) JavaScript Engineer (m/f/d),ePages GmbH,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['Jest', 'CSS', 'HTML', 'JavaScript', 'Node', 'React', 'Redux', 'TypeScript', 'Vue', 'Linux', 'GIT', 'Jenkins', 'Docker', 'Windows', 'Agile']"
IT Support Technician,TFS HealthScience,2,Sin informacion,Sin informacion,06-01-2023,"['Core', 'Next', 'TFS', 'Basis']"
Software Engineer (Machine Learning project),"M47 Labs & International Fiducia, S.L.",3,Sin informacion,Madrid,22-12-2022,"['C', 'Next', 'Nodejs', 'React', 'NoSQL', 'Python', 'REST', 'SQL', 'Swift', 'Access', 'Redis', 'AWS', 'EDGE', 'GIT', 'Basis']"
QA Automation Engineer,Nuvolar,3,Sin informacion,Barcelona,14-12-2022,"['Flight', 'API', 'Java', 'REST', 'SQL', 'GIT', 'Docker', 'Agile', 'Basis']"
QA Automation Engineer,Nuvolar,3,Sin informacion,Barcelona,14-12-2022,"['Flight', 'API', 'Java', 'REST', 'SQL', 'GIT', 'Docker', 'Agile', 'Basis']"
Elixir Engineer,Goodwall,3,Sin informacion,Madrid,08-12-2022,"['Cycle', 'Core', 'Next', 'Python']"
iOS Developer,FREE NOW,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['Cycle', 'Android', 'iOS', 'Next', 'Swift', 'Access']"
[B2C] Engineering Lead - Customer Activation,ManoMano,8,Sin informacion,Barcelona,08-12-2022,"['Core', 'Java', 'NextJS', 'Nodejs', 'React', 'Redux', 'Kotlin', 'PHP', 'React Native', 'REST', 'Access', 'Redis', 'AWS', 'Kubernetes', 'Kafka', 'SAS']"
[B2B] Engineering Lead - Pro Smart Shopping,ManoMano,8,Sin informacion,Barcelona,08-12-2022,"['Core', 'Java', 'NextJS', 'Nodejs', 'React', 'Redux', 'Kotlin', 'PHP', 'React Native', 'REST', 'Access', 'Redis', 'AWS', 'Kubernetes', 'Kafka', 'SAS']"
QA Automation Engineer,"M47 Labs & International Fiducia, S.L.",2,Sin informacion,Barcelona,08-12-2022,"['API', 'Android', 'iOS', 'JavaScript', 'Next', 'React', 'Swift', 'Access', 'GIT', 'Basis']"
Senior Game Developer (C++),Socialpoint,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['Cycle', 'MEAN', 'C', 'Android', 'iOS', 'Go', 'Next', 'PHP', 'AWS', 'Agile']"
Associate Solution Engineer,Appian Corporation,Sin informacion,Sin informacion,Sin informacion,08-12-2022,"['Ample', 'C', 'Java', 'MySQL', 'Reports', 'Perl', 'PHP', 'Ruby', 'SQL', 'SQL Server', 'Linux', 'Oracle', 'Windows', 'Agile', 'Basis']"
Software Developer,Centiro,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['.NET', 'ASP.NET', 'ASP', 'C', 'JavaScript', 'Windows']"
"Front End Engineer (React, Ionic)",Modus Create,5,Sin informacion,Madrid,08-12-2022,"['Core', 'Android', 'iOS', 'Ionic', 'JavaScript', 'ReactJS', 'React', 'Redux', 'Vue', 'AWS', 'Agile', 'Basis']"
"Architect (Node, React, AWS)",Modus Create,5,Sin informacion,Madrid,08-12-2022,"['Core', 'Android', 'iOS', 'Ionic', 'Node', 'ReactJS', 'React', 'Redux', 'Vue', 'AWS', 'Agile', 'Basis']"
Backend Developer,Page Personnel Spain,Sin informacion,Sin informacion,Barcelona,05-01-2023,"['Java', 'Spring', 'REST', 'Scrum']"
Backend Developer,Randstad Spain,Sin informacion,Sin informacion,Madrid,08-12-2022,"['R', 'SAN']"
Senior Backend node.js,FENARC,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Node', 'React', 'React Native']"
Backend .NET developer (con C#) Empresa líder especializada en el diseño y fabricación de soluciones integrales,Prometeo Talent,4,Sin informacion,Sin informacion,08-12-2022,"['C', 'Xamarin', 'Nodejs', 'Hardware']"
Java Backend Developer (Tx- 0105),Merlin Digital Partner,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['Java', 'Spring', 'Kotlin', 'Bases de Datos', 'AWS', 'Kubernetes']"
Ingeniero Open Backend,B2M,5,Sin informacion,Madrid,08-12-2022,"['C', 'HTML', 'Java', 'Spring', 'JavaScript', 'JSON', 'NoSQL', 'REST', 'RPA', 'XML', 'Apache', 'Citrix', 'MongoDB', 'Redis', 'Linux', 'Tibco', 'Oracle', 'SOAP', 'Bases de Datos', 'WebLogic', 'Scrum']"
Senior Backend Developer (They/He/She),Adsmurai,6,Sin informacion,Málaga,08-12-2022,"['API', 'JavaScript', 'ReactJS', 'React', 'PHP', 'Laravel', 'REST', 'SQL', 'Elasticsearch', 'Redis', 'Bases de Datos', 'Google Cloud Platform', 'GIT', 'Docker', 'Kubernetes', 'Scrum']"
Backend con Node.js (They/He/She),Adsmurai,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['JavaScript', 'Node', 'TypeScript', 'PHP', 'AWS', 'Google Cloud Platform', 'Magento']"
Programmer | Python DevOps,MALTHUS DARWIN,1,Sin informacion,Barcelona,08-12-2022,"['Python', 'GIT']"
Cloud Architect AWS,Page Personnel Spain,Sin informacion,Sin informacion,Barcelona,03-01-2023,"['NoSQL', 'Python', 'DynamoDB', 'DNS', 'Bases de Datos', 'AWS']"
Python Developer,INNOCV Solutions S.L.U.,Sin informacion,Sin informacion,Asturias,03-01-2023,"['Python', 'Django', 'REST', 'Bases de Datos', 'Docker', 'Kubernetes']"
Desarrollador/a Frontend - Vue.js,Vermont Solutions,Sin informacion,Sin informacion,Madrid,03-01-2023,"['Jest', 'Angular', 'Express', 'Node', 'React', 'Vue', 'GIT', 'Jenkins']"
Desarrolladores/as .Net / Unit Test (entorno internacional),Consultia IT,5,Sin informacion,Barcelona,08-12-2022,"['C', 'MySQL', 'NUnit', 'SQL', 'SQL Server', 'Bases de Datos', 'Docker']"
Front-End Developer,Grupo PROEDUCA,3,Sin informacion,Madrid,08-12-2022,"['Vanilla', 'CSS', 'CSS3', 'Sass', 'HTML5', 'JavaScript', 'Natural', 'GIT', 'CMS', 'Kanban', 'Scrum', 'PM']"
PROGRAMADOR FRONTEND,dhrglobal,3,Sin informacion,Madrid,29-12-2022,"['Angular', 'API', 'HTML5', 'XCode', 'Ionic', 'REST', 'GIT']"
Pyhton Developer,FENARC,Sin informacion,Sin informacion,Barcelona,29-12-2022,"['Vue', 'Flutter', 'PHP', 'Laravel', 'Python', 'SQL', 'AWS']"
PROGRAMADOR FRONTEND,dhrglobal,3,Sin informacion,Madrid,29-12-2022,"['Angular', 'API', 'HTML5', 'XCode', 'Ionic', 'REST', 'GIT']"
Pyhton Developer,FENARC,Sin informacion,Sin informacion,Barcelona,29-12-2022,"['Vue', 'Flutter', 'PHP', 'Laravel', 'Python', 'SQL', 'AWS']"
Programador Senior Fullstack (116 - THB),The White Team,Sin informacion,Sin informacion,Madrid,13-12-2022,"['Ajax', 'Angular', 'API', 'Bootstrap', 'CSS', 'Flex', 'HTML5', 'JBoss', 'Tomcat', 'JPA', 'JavaScript', 'JQuery', 'JSON', 'REST', 'UML', 'XML', 'Apache', 'SOAP', 'GIT', 'Jenkins', 'WebLogic']"
Analista | BBDD SQL,MALTHUS DARWIN,Sin informacion,Sin informacion,Sin informacion,08-12-2022,"['Angular', 'Bootstrap', 'CSS', 'Java', 'Maven', 'Spring', 'Node', 'REST', 'SQL', 'Almacenamiento', 'Oracle', 'Bases de Datos', 'BBDD']"
Platform Engineer,Avantio,4,Sin informacion,Valencia,08-12-2022,"['MongoDB', 'Bases de Datos', 'AWS', 'Kubernetes']"
Arquitecto .NET,Consultia IT,5,Sin informacion,Madrid,08-12-2022,"['.NET', 'ASP.NET', 'Core', 'Entity Framework', 'Angular', 'API', 'ASP', 'C', 'JavaScript', 'SQL', 'Microsoft Azure', 'TFS', 'Agile', 'Scrum']"
Mobile Developer - Mid/Senior,Mapit IoT,5,Sin informacion,Barcelona,08-12-2022,"['Android', 'iOS', 'React', 'Kotlin', 'React Native', 'Swift', 'IoT', 'Agile', 'Scrum']"
Senior Software Engineer - App Stores Backend (Remote),Canonical - Jobs,Sin informacion,Sin informacion,Murcia,04-01-2023,"['C', 'Python', 'Access', 'Linux', 'Ubuntu', 'IoT']"
Python Backend Software Engineer,Scalefast,5,Sin informacion,Madrid,04-01-2023,"['Python', 'Access', 'AWS', 'Agile']"
Backend Engineer,Nextail,Sin informacion,Sin informacion,Madrid,08-12-2022,"['In Design', 'Java', 'Next', 'Python', 'REST', 'EDGE', 'Agile', 'Basis']"
Senior Java Backend Developer (Permanent Contract),NPAW,Sin informacion,Sin informacion,Barcelona,21-12-2022,"['Java', 'Access', 'Version Control System', 'GIT', 'Jenkins']"
Senior Software Engineer (Backend Expertise),Landbot,Sin informacion,Sin informacion,Barcelona,27-12-2022,"['Core', 'CSS3', 'Flex', 'Go', 'HTML5', 'Java', 'JavaScript', 'React', 'Redux', 'TypeScript', 'MySQL', 'Python', 'Django', 'Access', 'Agile']"
[Catalog] Senior Software Engineer - Backend,ManoMano,5,Sin informacion,Barcelona,14-12-2022,"['API', 'Java', 'Hibernate', 'MySQL', 'SQL', 'Access', 'SQL Server', 'AWS', 'Docker', 'Kubernetes', 'Kafka', 'SAS']"
Senior Developer Backend Python,"Kapres Technology, S.L.",5,Sin informacion,Madrid,08-12-2022,"['API', 'Python', 'SQL', 'GIT', 'Kanban', 'Scrum']"
Node Backend Engineer (f/m(d),zooplus Services ESP S.L.,5,Sin informacion,Madrid,08-12-2022,"['MEAN', 'API', 'JavaScript', 'Next', 'Express', 'Node', 'React', 'TypeScript', 'REST', 'AWS', 'Jenkins', 'CMS', 'Agile', 'Kanban']"
Expert Backend Engineer,Back Market,5,Sin informacion,Barcelona,08-12-2022,"['Cycle', 'API', 'Nuxt', 'VueJS', 'Python', 'Elasticsearch', 'AWS', 'Docker', 'Kubernetes', 'Agile', 'Kanban', 'Scrum']"
Backend Engineer,Seedtag,5,Sin informacion,Sin informacion,08-12-2022,"['Core', 'Nodejs', 'TypeScript', 'Natural', 'Access', 'Google Cloud Platform', 'Kubernetes']"
Python Backend Engineer (full remote / hybrid),Qustodio,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['NoSQL', 'Python', 'Django', 'REST', 'SQL', 'EDGE', 'Kubernetes']"
Back-end Node.js (V.A-0101),Merlin Digital Partner,2,Sin informacion,Barcelona,08-12-2022,"['Android', 'iOS', 'Java', 'JUnit', 'Maven', 'Node', 'REST', 'Cucumber', 'Selenium', 'AWS', 'Jenkins', 'Docker', 'Agile', 'Scrum']"
Backend Developer,Norconsulting,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['Python', 'Django']"
"Senior Software Engineer, Python (Backend)",AssemblyAI - Remote,6,Sin informacion,Madrid,08-12-2022,"['API', 'C', 'Go', 'Java', 'JavaScript', 'NoSQL', 'Python', 'Django', 'REST', 'SQL', 'AWS', 'EDGE']"
Backend Developer Javascript,Softonic,3,Sin informacion,Barcelona,08-12-2022,"['Jest', 'Vanilla', 'CSS', 'Less', 'Sass', 'HTML5', 'JavaScript', 'Next', 'Node', 'React', 'Vue', 'MySQL', 'Elasticsearch', 'Redis', 'GIT', 'Docker', 'Kubernetes', 'Agile', 'Kanban', 'Scrum', 'Basis']"
Backend Developer,Kodify,5,Sin informacion,Barcelona,08-12-2022,"['Core', 'API', 'Next', 'Express', 'Nodejs', 'Node', 'TypeScript', 'NoSQL', 'R', 'MongoDB', 'Redis', 'AWS', 'GIT', 'Docker', 'JIRA', 'Agile']"
(Senior) Back-End Java Engineer - Barcelona - Relocation package offered,Talent 4.0,5,Sin informacion,Barcelona,08-12-2022,"['API', 'Java', 'EJB', 'JBoss', 'JPA', 'JSF', 'JSP', 'JUnit', 'PL', 'SQL', 'Oracle', 'Mercurial']"
Tech Lead (Java / Insurtech),Merlin Digital Partner,5,Sin informacion,Barcelona,08-12-2022,"['Java', 'Spring', 'Next', 'Node', 'React', 'AWS', 'Docker', 'Agile']"
Senior Software Engineer (Global Solutions - Cloud Team),Accedo,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Java', 'AWS', 'EDGE']"
Senior Full Stack Engineer,FeverUp,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Angular', 'API', 'Less', 'Android', 'iOS', 'JavaScript', 'Python', 'Django', 'SQL', 'Access', 'Redis', 'AWS', 'Docker', 'Kubernetes', 'Agile']"
Staff Software Engineer,Medallia,5,Sin informacion,Sin informacion,08-12-2022,"['C', 'Go', 'Java', 'Next', 'SQL', 'Elasticsearch', 'Agile', 'Basis', 'PM']"
Fullstack Developer,Talan,5,Sin informacion,Madrid,08-12-2022,"['Angular', 'CSS3', 'HTML5', 'J2EE', 'JPA', 'Hibernate', 'JUnit', 'Maven', 'Spring', 'JavaScript', 'PL', 'REST', 'SQL', 'Oracle', 'Unix', 'GIT', 'Jenkins', 'Blockchain', 'Agile']"
Frontend Developer (all genders),DGTLS GmbH,Sin informacion,Sin informacion,Barcelona,04-01-2023,"['CSS', 'Sass', 'HTML', 'JavaScript', 'React', 'TypeScript', 'VueJS', 'PHP', 'GIT', 'CMS', 'Agile']"
Senior Android Software Engineer,Contentsquare,0,Sin informacion,Barcelona,04-01-2023,"['Core', 'Angular', 'C', 'Android', 'Cordova', 'iOS', 'Go', 'Ionic', 'Java', 'Node', 'React', 'TypeScript', 'Vue', 'Kotlin', 'Dart', 'Flutter', 'Python', 'R', 'React Native', 'Scala', 'Swift', 'AWS', 'Kafka', 'Spark']"
THE SKILL SET,EventBrite,Sin informacion,Sin informacion,Sin informacion,03-01-2023,"['Core', 'API', 'React', 'Kotlin', 'Python', 'AWS', 'GIT']"
Nodejs & C++ Software Engineer,Whisbi,6,Sin informacion,Barcelona,08-12-2022,"['Core', 'C', 'Next', 'ExpressJS', 'Nodejs', 'EDGE', 'Agile', 'Kanban', 'Scrum', 'Basis']"
Java Software Engineer,Baxter Planning,4,Sin informacion,Sin informacion,08-12-2022,"['Angular', 'API', 'Java', 'J2EE', 'Hibernate', 'JUnit', 'Spring', 'React', 'NoSQL', 'REST', 'SQL', 'AWS', 'ETL', 'Agile']"
"Full Stack Developers (Javascript, NodeJS)",Techruiter,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['CSS', 'Less', 'Sass', 'HTML', 'Java', 'Spring', 'JavaScript', 'Nodejs', 'ReactJS', 'React', 'MySQL', 'Scala', 'Access', 'Linux', 'AWS', 'Docker', 'Agile']"
"Frontend Developer (Angular, SCSS)",Odilo,3,Sin informacion,Madrid,08-12-2022,"['Angular', 'HTML', 'Java', 'Node', 'MongoDB', 'EDGE', 'GIT', 'JIRA', 'Agile']"
Senior brand designer,Canonical - Jobs,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['Core', 'Photoshop', 'C', 'Linux', 'Ubuntu']"
"Senior Software Engineer, Platform",Chartboost,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['Core', 'Angular', 'C', 'React', 'Redux', 'TypeScript', 'VueJS', 'Python', 'Elasticsearch', 'AWS', 'GIT', 'Jenkins', 'Docker', 'Kubernetes', 'Agile', 'Basis']"
System Administrator Linux / DevOps,NPAW,3,Sin informacion,Barcelona,29-12-2022,"['Shell', 'SQL', 'Apache', 'Access', 'Linux', 'Debian', 'Ubuntu', 'DNS', 'AWS', 'Version Control System', 'GIT']"
